clubid,name,division,based
5655,Retro Vatutine,Ukrainian Lower Division,Ukraine (Lower Division)
5656,Rewa,Fijian Premier League,Fiji (Premier League)
5657,Reynir S.,Icelandic Third Division,Iceland (Third Division)
5658,RFS,Latvian Higher League,Latvia (Higher League)
5659,Rheinfelden,Swiss Lower Division,Switzerland (Lower Division)
5660,Rheydt,German Lower Division,Germany (German Lower Division)
5661,Ribadumia,Spanish Preferente AutonÃ³mica Galicia Norte,Spain (Reg. Pref. Galicia Norte)
5662,Ribnica (M),Serbian Zone League,Serbia (Zone League)
5663,Richards Bay,South African National First Division,South Africa (National First Division)
5664,Richemond,Swiss Lower Division,Switzerland (Lower Division)
5665,Richmond,United States Soccer League Division Two,U.S.A. (USSL Division Two)
5666,Richmond SC,Victorian State League 1 South-East,Australia (Vic State League 1SE)
5667,Richmond Utd,English Northern Premier League Premier Division,England (Northern Premier League)
5668,Rieti,Italian Serie C/C,Italy (Serie C/C)
5669,Riffa,Bahraini Premier League,Bahrain (Premier League)
5670,Riga,Latvian Higher League,Latvia (Higher League)
5671,Rigas Feraios,Greek Amateur Division - Thessaly,Greece (GAD - Thessaly)
5672,Rijeka,Croatian First League,Croatia (First League)
5673,Rijnsburgse Boys,Dutch Tweede Divisie,Holland (Dutch Tweede Divisie)
5674,Rilski sportist,Bulgarian Third League South-West,Bulgaria
5675,Rim. Sobota,Slovak Lower Division,Slovakia (Lower Division)
5676,Rimba Star,Bruneian Premier League,Brunei (Premier League)
5677,Rimini,Italian Serie C/B,Italy (Serie C/B)
5678,Rimyongsu,North Korean Premier Football League,North Korea (Premier League)
5679,Ringmahon,Irish Munster Senior League Premier Division,Ireland (Munster Premier Division)
5680,Ringwood City,Victorian State League 4 - East,Australia (Vic State League 4 East)
5681,Rio Ave,Portuguese Premier League,Portugal (Premier League)
5682,Rio Branco (ES),Brazilian National Lower Division,Brazil (Lower Division)
5683,Rio Branco (PR),Brazilian National Lower Division,Brazil (Lower Division)
5684,Rio Branco (SP),Brazilian National Lower Division,Brazil (Lower Division)
5685,Rio Claro,Brazilian National Lower Division,Brazil (Lower Division)
5686,Rio Grande Valley,USSL Division One Western Conference,U.S.A. (Western Conference)
5687,Rio Preto,Brazilian National Lower Division,Brazil (Lower Division)
5688,Rio Verde (GO),Brazilian National Lower Division,Brazil (Lower Division)
5689,Rioja Jrs,Argentine Torneo Federal B,Argentina (Fourth Division non AFA)
5690,Ripensia,Romanian Second League,Romania (Liga II)
5691,Ripley Valley,Brisbane Capital League 3,Australia (League 3)
5692,RiPS,Finnish Third Division,Finland (Finnish Third Division)
5693,RiRa,Finnish Lower Division,Finland (Lower Division)
5694,RIV,Brazilian National Fourth Division,Brazil (Fourth Division)
5695,Rivadavia (Empalme Lob),Argentine Torneo Federal C,Argentina (Fifth Division non AFA)
5696,Rivadavia (Lincoln),Argentine Torneo Federal B,Argentina (Fourth Division non AFA)
5697,River,Argentine Premier Division,Argentina (Premier Division)
5698,River Melilla,Spanish Primera AutonÃ³mica Melilla,Spain (1Âª Aut. Melilla)
5699,River Plate (PAR),Paraguayan First Division,Paraguay (First Division)
5700,River Plate de Florida,Uruguayan Florida League,Uruguay (Florida League)
5701,River Plate de Montevideo,Uruguayan First Division,Uruguay (First Division)
5702,River Plate de Rocha,Uruguayan Rocha League,Uruguay (Rocha League)
5703,River Plate de Salto,Uruguayan Salto League,Uruguay (Salto League)
5704,Riverball,Finnish Third Division,Finland (Finnish Third Division)
5705,Riverina Rhinos,National Premier Leagues - ACT,Australia (NPL ACT)
5706,Rivers Utd,Nigerian Premier League,Nigeria (Premier League)
5707,Riversdale SC,Victorian State League 4 - East,Australia (Vic State League 4 East)
5708,Riverside Olympic,Tasmanian Northern Championship,Australia (Tas Northern Championship)
5709,Rizespor,Turkish Super League,Turkey (Super League)
5710,RKC,Eredivisie,Holland (Eredivisie)
5711,RKSK,Hungarian Division III - KÃ¶zÃ©p,Hungary (Division III - KÃ¶zÃ©p)
5712,RKSV Heer,Dutch Tweede Klasse Zondag G,Holland (Dutch Tweede Klasse Zonda)
5713,RM Hamm Benfica,Luxembourg Promotion Division,Luxembourg (Promotion Division)
5714,Rob Roy,Scottish Juniors West Region Premiership,Scotland (West Region Premiership)
5715,Robi Shapira Haifa,Israeli A League North Division,Israel (A League North)
5716,Robin Hood (BER),Bermudan Premier Division,Bermuda (Premier Division)
5717,Robina City,Gold Coast Division 1,Australia (Gold Coast 1)
5718,Roccella,Italian Serie D Grp. I,Italy (Serie D Grp. I)
5719,Roces,Spanish Regional Preferente Asturias,Spain (Reg. Pref. Asturias)
5720,Rocha F.C.,Uruguayan First Amateur Division,Uruguay (Third Division)
5721,Rochdale,Sky Bet League One,England (Sky Bet League One)
5722,Rochedale Rovers,Queensland Premier League,Australia (Premier League)
5723,Rochefort,Belgian Third Amateur Division B (Wal),Belgium (Third Division D)
5724,Rochester Lancers,NPSL Northeast Region,U.S.A. (Northeast Region)
5725,Rockdale City,National Premier Leagues - NSW,Australia (NPL NSW)
5726,Rockingham City,Western Australia State League Division 2,Australia (WA State League Div 2)
5727,Rockmount,Irish Munster Senior League Premier Division,Ireland (Munster Premier Division)
5728,Roda,Spanish Third Division Group 6,Spain (Third Division Group 6)
5729,Roda JC,Keuken Kampioen Divisie,Holland (Keuken Kampioen Divisie)
5730,Rodange,Luxembourg National Division,Luxembourg (National Division)
5731,Rodelindo Román,Chilean Third Division A,Chile (Third Division A)
5732,Rodez Aveyron Football,Domino's Ligue 2,France (Domino's Ligue 2)
5733,Rodochori,Greek Amateur Division - Imathia,Greece (GAD - Imathia)
5734,Rodopa,Bulgarian Third League South-East,Bulgaria (Third SE League)
5735,Rodos,Greek Regional Division Group 6,Greece (Regional Division 6)
5736,Roeselare,Belgian Pro League B,Belgium (Pro League B)
5737,Rogaska,Slovenian Second League,Slovenia (Second League)
5738,Roma,Italian Serie A,Italy (Serie A)
5739,Roma Vv,Slovenian Lower League,Slovenia (Lower League)
5740,Romanos Irakleiou,Greek Amateur Division - Irakleio,Greece (GAD - Irakleio)
5741,Ronse,Belgian Second Amateur Division A,Belgium (Second Division A)
5742,RoPo,Finnish Third Division,Finland (Finnish Third Division)
5743,RoPS,Finnish Premier League,Finland (Premier League)
5744,RoPS/2,Finnish Second Division Group C,Finland (Second Division Group C)
5745,Rorschach-Goldach,Swiss Lower Division,Switzerland (Lower Division)
5746,Rosario,Northern Irish Amateur Division 1A,N.Ireland (Amateur Division 1A)
5747,Rosario Atl. de Colonia,Uruguayan Colonia League,Uruguay (Colonia League)
5748,Rosario Central,Argentine Premier Division,Argentina (Premier Division)
5749,Rosario Puerto Belgrano,Argentine Torneo Federal C,Argentina (Fifth Division non AFA)
5750,Rosenborg,Norwegian Premier Division,Norway (Premier Division)
5751,Rosenheim,German Regional Division Bavaria,Germany (Regional Div. Bavaria)
5752,Rosice,Czech Third Division MSFL,Czech Republic (Third Division MSFL)
5753,Roskilde KFUM,Denmark's Series Group 1,Denmark (Denmark's Series Group 1)
5754,Roslyn-Wakari,New Zealand Football South Premier League,New Zealand (South Premier)
5755,Rosolini,Italian Eccellenza Sicilia Grp.B,Italy (Eccellenza Sicilia B)
5756,Rosport,Luxembourg National Division,Luxembourg (National Division)
5757,Ross County,Ladbrokes Premiership,Scotland (Ladbrokes Premiership)
5758,Rosseland,Norwegian Lower Division,Norway (Lower Division)
5759,Rossowen,Northern Irish Carnbane Premier Division,N.Ireland (Carnbane Premier Division)
5760,Rostock,3. Liga,Germany (3. Liga)
5761,Rostock II,German Div. North East - North,Germany (North East-North)
5762,Rostov,Russian Premier League,Russia (Premier League)
5763,Rostrevor Old Collegians,Australian Lower Leagues,Australia (Lower Leagues)
5764,Rotherham,Sky Bet League One,England (Sky Bet League One)
5765,Rothes,Highland Football League,Scotland (Highland League)
5766,Rothrist,Swiss Lower Division,Switzerland (Lower Division)
5767,Rotkreuz,Swiss Second League Interregio Gr 4,Switzerland (Second League Inter Gr 4)
5768,Rotor,Russian First Division,Russia (First Division)
5769,Rotor-2,Russian Second Division - Central,Russia (Second Division - Central)
5770,Roudnice nad Labem,Czech Lower Division,Czech Republic (Lower Division)
5771,Rouvas,Greek Amateur Division - Irakleio,Greece (GAD - Irakleio)
5772,Rovinj,Croatian Third League West,Croatia (Third League West)
5773,ROW Rybnik,Polish Third Division Group 3,Poland (Third Division Group 3)
5774,Royal Eagles,South African National First Division,South Africa (National First Division)
5775,Royal Pari,Bolivian Premier Division,Bolivia (Premier Division)
5776,Rozova dolina,Bulgarian Third League South-East,Bulgaria (Third SE League)
5777,RS Berkane,Moroccan Premier Division,Morocco (Premier Division)
5778,RSD Alcalá,Spanish Third Division Group 7,Spain (Third Division Group 7)
5779,RSK,Serbian Second League West,Serbia (Second League West)
5780,RSL Academy,Irish First Division,Ireland (First Division)
5781,Rtanj,Serbian Zone League,Serbia (Zone League)
5782,Rubin,Russian Premier League,Russia (Premier League)
5783,Ruch,Polish Third Division Group 3,Poland (Third Division Group 3)
5784,Ruch Wysokie Maz.,Polish Third Division Group 1,Poland (Third Division Group 1)
5785,Ruch Zdzieszowice,Polish Third Division Group 3,Poland (Third Division Group 3)
5786,Rudar,Montenegrin First League,Montenegro (First League)
5787,Rudar (B),Serbian Lower League,Serbia (Lower League)
5788,Rudar (K),Serbian Lower League,Serbia (Lower League)
5789,Rudar (Pr),Republic of Srpska First League,Bosnia & Herzegovina (First League RS)
5790,Rudar Labin,Croatian Third League West,Croatia (Third League West)
5791,Rudar MS,Croatian Third League North,Croatia (Third League North)
5792,Rudar Trbovlje,Slovenian Lower League,Slovenia (Lower League)
5793,Rudar Velenje,Slovenian First League,Slovenia (First League)
5794,Rudes,Croatian Second League,Croatia (Second League)
5795,Rudolstadt,German Div. North East - South,Germany (North East-South)
5796,Ruggell,Swiss Lower Division,Switzerland (Lower Division)
5797,Rukh,Belarusian First League,Belarus (First League)
5798,Rukh Lviv,Ukrainian First League,Ukraine (First League)
5799,Rumelange,Luxembourg Promotion Division,Luxembourg (Promotion Division)
5800,Rupel Boom,Belgian First Amateur Division,Belgium (First Division)
5801,Ruzomberok,Slovak First Division,Slovakia (First Division)
5802,RVVH,Dutch Eerste Klasse Zaterdag B,Holland (Eerste Klasse Zaterdag B)
5803,RW Essen,German Regional Division West,Germany (Regional Div. West)
5804,RW Koblenz,German Regional Division Southwest,Germany (Regional Div. Southwest)
5805,RW Walldorf,German Div. Hessia,Germany (Hessia)
5806,RWDM,Belgian First Amateur Division,Belgium (First Division)
5807,Ryazan,Russian Second Division - Central,Russia (Second Division - Central)
5808,Rydalmere Lions,National Premier Leagues - NSW 3,Australia (NPL - NSW 3)
5809,Rymarov,Czech Fourth Division F,Czech Republic (Fourth Division F)
5810,S'pore Cricket Club,Singaporean National Football League Division Two,Singapore (NFL Division 2)
5811,S'pore Rec Club,Singaporean Lower Division,Singapore (Lower Division)
5812,S.A. Ashdod,Israeli A League South Division,Israel (A League South)
5813,S.A. Holon,Israeli C League Tel-Aviv Division,Israel (C League Tel-Aviv)
5814,S.C. Ashdod,Israeli Premier League,Israel (Premier League)
5815,S.C. Be'er-Sheva,Israeli B League South B Division,Israel (B League South B)
5816,S.C. Daburiya,Israeli A League North Division,Israel (A League North)
5817,S.C. Kfar Kasem,Israeli National League,Israel (National League)
5818,S.C. Lod,Israeli B League South B Division,Israel (B League South B)
5819,S.C. Pardes-Hana - Karkur,Israeli B League North B Division,Israel (B League North B)
5820,S.C. Ramla,Israeli C League Central Division,Israel (C League Central)
5821,S.C. Tira,Israeli A League North Division,Israel (A League North)
5822,Sabadell,Spanish Second Division B3,Spain (Second Division B3)
5823,Sabah,Malaysian Premier League,Malaysia (Premier League)
5824,Sabah (AZE),Azeri Premier League,Azerbaijan (Premier League)
5825,Saburtalo,Georgian National League,Georgia (Georgian National League)
5826,Sacachispas,Argentine Metropolitan B Zone,Argentina (Metropolitan Zone)
5827,Sacachispas (GUA),Primera DivisiÃ³n de Ascenso Guatemala,Guatemala (Primera DivisiÃ³n)
5828,Sacavenense,Portugal Championship - Group D,Portugal (PT Championship D)
5829,Sacramento,USSL Division One Western Conference,U.S.A. (Western Conference)
5830,SAFSA,Singaporean National Football League Division One,Singapore (NFL Division 1)
5831,SAG Cestas,French Regional Divisions,France (Regional Divisions)
5832,Sagamihara Topolino,Nihon-League 1,Japan (Nihon-League 1)
5833,Sahab,Jordanian Professional League,Jordan (Pro-League)
5834,Saif SC,Bangladeshi Premier League,Bangladesh (Premier League)
5835,Saint-Amand FC,French Regional Divisions,France (Regional Divisions)
5836,Saint-Nazaire AF,French Regional Divisions,France (Regional Divisions)
5837,Saint-Pierre de Milizac,French Regional Divisions,France (Regional Divisions)
5838,Saint George,Ethiopian Premier Division,Ethiopia (Premier Division)
5839,Saint Paul Sport Football,French Regional Divisions,France (Regional Divisions)
5840,Saintfield Utd,Northern Irish Amateur Division 1C,N.Ireland (Amateur Division 1C)
5841,Saints Eagles South,North Queensland Premier League,Australia (NQ Premier League)
5842,Saipa,Iranian Professional League,Iran (Pro League)
5843,SAK 1914,Austrian Regional Division Salzburg,Austria (Regional Div. Salzburg)
5844,SAK Klagenfurt,Austrian Div. Carinthia,Austria (KÃ¤rntner Liga)
5845,Sakai FC,Japanese N-League Division Three,Japan (N-League 3)
5846,Sakaryaspor,Turkish 2. League Red Group,Turkey (2. League Red)
5847,Sakhalin,Russian Second Division - East,Russia (Second Division - East)
5848,SAL,Brazilian National Fourth Division,Brazil (Fourth Division)
5849,Salamanca,Spanish Second Division B2,Spain (Second Division B2)
5850,Salamanca C.F. B,Spanish Third Division Group 8,Spain (Third Division Group 8)
5851,Salernitana,Italian Serie B,Italy (Serie B)
5852,Salford,Sky Bet League Two,England (Sky Bet League Two)
5853,Salgaocar,Indian Lower Division,India (Indian Lower Division)
5854,Salisbury United,South Australia - State League 1,Australia (SA - State League 1)
5855,Salitas FC,BurkinabÃ© Premier Division,Burkina Faso (Premier Division)
5856,Salmiya,Kuwaiti Premier League,Kuwait (Premier League)
5857,SalPa,Finnish Second Division Group B,Finland (Second Division Group B)
5858,SalReipas,Finnish Lower Division,Finland (Lower Division)
5859,Salt,Jordanian Professional League,Jordan (Pro-League)
5860,Salthill,Irish Galway Junior Premier Division,Ireland (Galway Premier Division)
5861,Salto Nuevo de Salto,Uruguayan Salto League,Uruguay (Salto League)
5862,Salto Uruguay,Uruguayan Salto League,Uruguay (Salto League)
5863,Salus,Uruguayan First Amateur Division,Uruguay (Third Division)
5864,Salyut,Russian Second Division - Central,Russia (Second Division - Central)
5865,SAM,Brazilian National Third Division,Brazil (Third Division)
5866,SAMB,Malaysian Division Three League,Malaysia (M3 League)
5867,Sambenedettese,Italian Serie C/B,Italy (Serie C/B)
5868,Samford Rangers,Brisbane Capital League 1,Australia (Capital League 1)
5869,Samherjar,Icelandic Lower Division,Iceland (Lower Division)
5870,Samorin,Slovak Second Division,Slovakia (Second Division)
5871,Sampdoria,Italian Serie A,Italy (Serie A)
5872,Sampion,Slovenian Third League East,Slovenia (Third League East)
5873,Samsunspor,Turkish 2. League White Group,Turkey (2. League White)
5874,Samtredia,Georgian National League 2,Georgia (Georgian National League )
5875,Samut Prakan,Thai League Four Bangkok Perimeter Region,Thailand (Thai League 4 - Bangkok)
5876,Samut Prakan City,Thai League,Thailand (Thai League)
5877,Samut Sakhon,Thai League Two,Thailand (Thai League 2)
5878,San Antonio,USSL Division One Western Conference,U.S.A. (Western Conference)
5879,San Antonio Unido,Chilean Second Division,Chile (Second Division)
5880,San Basilio (ARG),Argentine Torneo Federal C,Argentina (Fifth Division non AFA)
5881,San Bautista Vida Nueva,Uruguayan Canelones League,Uruguay (Canelones League)
5882,San Carlos,Primera DivisiÃ³n de Costa Rica,Costa Rica (Primera DivisiÃ³n)
5883,San Carlos de Colonia,Uruguayan Colonia League,Uruguay (Colonia League)
5884,San Carlos de Maldonado,Uruguayan Maldonado League,Uruguay (Maldonado League)
5885,San Donato Tavarnelle,Italian Serie D Grp. E,Italy (Serie D Grp. E)
5886,San Eugenio de Artigas,Uruguayan Artigas League,Uruguay (Artigas League)
5887,San Fernando,Spanish Second Division B4,Spain (Second Division B4)
5888,San Fernando de Henares,Spanish Third Division Group 7,Spain (Third Division Group 7)
5889,San Francisco (Canelones),Uruguayan Canelones League,Uruguay (Canelones League)
5890,San Francisco (PAN),Liga PanameÃ±a de Futbol,Panama (Primera Division)
5891,San Francisco CD,Spanish U19 Division 1 Group 3,Spain (U19 Division 1 Group 3)
5892,San Francisco City,USSL D3 - Southwest Division,U.S.A. (Southwest Division)
5893,San Ignacio,Spanish Third Division Group 4,Spain (Third Division Group 4)
5894,San Isidro,Spanish Preferente Tenerife,Spain (Pref. Tenerife)
5895,San Isidro (MdP),Argentine Torneo Federal C,Argentina (Fifth Division non AFA)
5896,San Jorge (SF),Argentine Torneo Federal B,Argentina (Fourth Division non AFA)
5897,San Jorge (Tucumán),Argentine Torneo Federal C,Argentina (Fifth Division non AFA)
5898,San Jose,Major League Soccer,U.S.A. (MLS)
5899,San Juan A.D.,Spanish Third Division Group 17,Spain (Third Division Group 17)
5900,San Lazzaro (MN),Italian Eccellenza Lombardia Grp.C,Italy (Eccellenza Lombardia C)
5901,San Lorenzo,Argentine Premier Division,Argentina (Premier Division)
5902,San Lorenzo (Alem),Argentine Torneo Federal B,Argentina (Fourth Division non AFA)
5903,San Lorenzo (MDP),Argentine Torneo Federal C,Argentina (Fifth Division non AFA)
5904,San Lorenzo (PAR),Paraguayan First Division,Paraguay (First Division)
5905,San Lorenzo (Rodeo),Argentine Torneo Federal C,Argentina (Fifth Division non AFA)
5906,San Lorenzo de Florida,Uruguayan Florida League,Uruguay (Florida League)
5907,San Lorenzo de San Carlos,Uruguayan Maldonado League,Uruguay (Maldonado League)
5908,San Luca (RC),Italian Eccellenza Calabria,Italy (Eccellenza Calabria)
5909,San Luigi,Italian Serie D Grp. C,Italy (Serie D Grp. C)
5910,San Luis de Quillota,Chilean First Division B,Chile (First Division B)
5911,San Marcos de Arica,Chilean Second Division,Chile (Second Division)
5912,San Miguel,Argentine Metropolitan B Zone,Argentina (Metropolitan Zone)
5913,San Miguel (LH),Argentine Torneo Federal C,Argentina (Fifth Division non AFA)
5914,San Miguel (Monte),Argentine Torneo Federal C,Argentina (Fifth Division non AFA)
5915,San Pedro,Primera DivisiÃ³n de Ascenso Guatemala,Guatemala (Primera DivisiÃ³n)
5916,San Roque,Spanish DivisiÃ³n Honor AndalucÃ­a Gr. 1,Spain (Div. Honor AndalucÃ­a G1)
5917,San Roque Lepe,Spanish Third Division Group 10,Spain (Third Division Group 10)
5918,San Telmo,Argentine Metropolitan B Zone,Argentina (Metropolitan Zone)
5919,Sanarate,Liga Nacional de Guatemala,Guatemala (Liga Nacional)
5920,Sanat Naft,Iranian Professional League,Iran (Pro League)
5921,Sancaktepe FK,Turkish 2. League White Group,Turkey (2. League White)
5922,Sandecja,Polish First Division,Poland (First Division)
5923,Sandefjord,Norwegian First Division,Norway (First Division)
5924,Sandefjord BK,Norwegian Fourth Division Group 9,Norway (Fourth Division Vestfold)
5925,Sandnes Ulf,Norwegian First Division,Norway (First Division)
5926,Sandown Lions,Victorian State League 4 - South,Australia (Vic State League 4 South)
5927,Sandringham SC,Victorian State League 4 - East,Australia (Vic State League 4 East)
5928,Sandvikens IF,Swedish First Division North,Sweden (First Division North)
5929,Sandviks IK,Swedish Second Division Norrland,Sweden (Second Division N)
5930,Sangiustese,Italian Serie D Grp. F,Italy (Serie D Grp. F)
5931,Sangju,Hana 1Q K LEAGUE 1,South Korea (K LEAGUE 1)
5932,Sanjustino,Argentine Torneo Federal C,Argentina (Fifth Division non AFA)
5933,Sannois SG,French National 2 - B,France (National 2 - B)
5934,Sansare,Primera DivisiÃ³n de Ascenso Guatemala,Guatemala (Primera DivisiÃ³n)
5935,Sanse,Spanish Second Division B1,Spain (Second Division B1)
5936,Sansepolcro,Italian Eccellenza Umbria,Italy (Eccellenza Umbria)
5937,Sansinena (ARG),Argentine Torneo Federal A,Argentina (Interior Zone)
5938,Sant Andreu,Spanish Third Division Group 5,Spain (Third Division Group 5)
5939,Sant Rafel,Spanish Third Division Group 11,Spain (Third Division Group 11)
5940,Santa Clara,Portuguese Premier League,Portugal (Premier League)
5941,Santa Croce,Italian Eccellenza Sicilia Grp.B,Italy (Eccellenza Sicilia B)
5942,Santa Cruz Breakers,Irish First Division,Ireland (First Division)
5943,Santa Cruz de Natal (RN),Brazilian National Fourth Division,Brazil (Fourth Division)
5944,Santa Fe,Colombian First Division,Colombia (First Division)
5945,Santa Lucia (GUA),Liga Nacional de Guatemala,Guatemala (Liga Nacional)
5946,Santa Rita (AL),Brazilian National Lower Division,Brazil (Lower Division)
5947,Santa Rita (ECU),Ecuadorian Serie B,Ecuador (Serie B)
5948,Santa Rosa de Canelones,Uruguayan Canelones League,Uruguay (Canelones League)
5949,Santa Rosa PNP,Peruvian Second Division,Peru (Second Division)
5950,Santa Tecla,El Salvador Primera DivisiÃ³n,El Salvador (Primera DivisiÃ³n)
5951,Santamarina,Argentine Second Division,Argentina (Second Division)
5952,Santfeliuenc,Spanish Third Division Group 5,Spain (Third Division Group 5)
5953,Santiago de Compostela,Spanish Preferente AutonÃ³mica Galicia Norte,Spain (Reg. Pref. Galicia Norte)
5954,Santiago Morning,Chilean First Division B,Chile (First Division B)
5955,Santiago Wanderers,Chilean First Division B,Chile (First Division B)
5956,Santos,Brazilian National First Division,Brazil (First Division)
5957,Santos (AP),Brazilian National Fourth Division,Brazil (Fourth Division)
5958,Santos F.C.,SAFA Western Cape Division 2,South Africa (Western Cape Division 2)
5959,Santos FC,Peruvian Second Division,Peru (Second Division)
5960,Santos Laguna,Mexican First Division,Mexico (First Division)
5961,Santurtzi,Spanish Third Division Group 4,Spain (Third Division Group 4)
5962,SAPA,Finnish Lower Division,Finland (Lower Division)
5963,Sapere (ARG),Argentine Torneo Federal C,Argentina (Fifth Division non AFA)
5964,Sapporo Mythos,Nihon-League 1,Japan (Nihon-League 1)
5965,Saprissa,Primera DivisiÃ³n de Costa Rica,Costa Rica (Primera DivisiÃ³n)
5966,Sarajevo,Bosnian Premier League,Bosnia & Herzegovina (Premier League)
5967,Sarakinos,Greek Amateur Division - Thessaly,Greece (GAD - Thessaly)
5968,Sarawak,Malaysian Premier League,Malaysia (Premier League)
5969,Sarawak Utd,Malaysian Premier League,Malaysia (Premier League)
5970,Sárbogárd,Hungarian Lower Division,Hungary (Lower Division)
5971,Sareeh,Jordanian Professional League,Jordan (Pro-League)
5972,Sárisáp,Hungarian Lower Division,Hungary (Lower Division)
5973,Sarmacja,Polish Fourth Division,Poland (Fourth Division)
5974,Sarmenstorf,Swiss Lower Division,Switzerland (Lower Division)
5975,Sarmiento (Cnel Suárez),Argentine Torneo Federal C,Argentina (Fifth Division non AFA)
5976,Sarmiento (La Banda),Argentine Torneo Federal C,Argentina (Fifth Division non AFA)
5977,Sarmiento (Leones),Argentine Torneo Federal B,Argentina (Fourth Division non AFA)
5978,Sarmiento (Resistencia),Argentine Torneo Federal A,Argentina (Interior Zone)
5979,Saron. Anavyssou,Greek Amateur Division - Eastern Attica,Greece (GAD - Eastern Attica)
5980,Saronikos,Greek Amateur Division - Piraeus,Greece (GAD - Piraeus)
5981,Sarpsborg,Norwegian Premier Division,Norway (Premier Division)
5982,Sarpsborg FK,Norwegian Fourth Division Group 1,Norway
5983,Sárvár,Hungarian Division III - Nyugat,Hungary (Division III - Nyugat)
5984,SAS Epinal,French National 2 - A,France (National 2 - A)
5985,Saskatoon HUSA,Unknown,Canada
5986,Sassuolo,Italian Serie A,Italy (Serie A)
5987,Saturn,Russian Second Division - Central,Russia (Second Division - Central)
5988,Sava,Slovenian Third League West,Slovenia (Third League West)
5989,Savoia,Italian Serie D Grp. I,Italy (Serie D Grp. I)
5990,Savon Pallo,Finnish Lower Division,Finland (Lower Division)
5991,Savona,Italian Serie D Grp. A,Italy (Serie D Grp. A)
5992,Savski Marof,Croatian Regional League - Zagreb (1),Croatia (ZNL - Greater Zagreb)
5993,SavU,Finnish Third Division,Finland (Finnish Third Division)
5994,SBE,Brazilian National Second Division,Brazil (Second Division)
5995,SC Anduze,French Regional Divisions,France (Regional Divisions)
5996,SC Austria Lustenau,Austrian Eliteleague Vorarlberg,Austria (Eliteleagu Vorarlberg)
5997,SC Bad Sauerbrunn,Austrian Div. Burgenland,Austria (Burgenlandliga)
5998,SC Bastia,French National 2 - A,France (National 2 - A)
5999,SC Cambuur,Keuken Kampioen Divisie,Holland (Keuken Kampioen Divisie)
6000,SC Cers-Portiragnes,French Regional Divisions,France (Regional Divisions)
6001,SC Corinthians,NPSL West Region,U.S.A. (West Region)
6002,SC Freiburg,Bundesliga,Germany (Bundesliga)
6003,SC Freiburg II,German Regional Division Southwest,Germany (Regional Div. Southwest)
6004,SC Gagnoa,Ivorian Premier Division,Ivory Coast (Premier Division)
6005,SC Genemuiden,Dutch Hoofdklasse Zaterdag B,Holland (Zaterdag B)
6006,SC Goa,Indian Lower Division,India (Indian Lower Division)
6007,sc Heerenveen,Eredivisie,Holland (Eredivisie)
6008,SC Imst,Austrian Bezirksliga West (T),Austria (Bezirksliga West (T))
6009,SC Jiuniu,Chinese National Second Division Southern Group,China (Second Division South)
6010,SC Kalsdorf,Austrian Regional Division Central,Austria (Regional Division Central)
6011,SC Neusiedl/See,Austrian 2. Klasse North (B),Austria (2. Klasse North (B))
6012,SC Paderborn,Bundesliga 2,Germany (Bundesliga 2)
6013,SC Paderborn II,German Div. Westphalia,Germany (Westphalia)
6014,SC Paivense,Portuguese Viseu First Division,Portugal (Viseu Honor Division)
6015,SC Pinkafeld,Austrian Div. Burgenland,Austria (Burgenlandliga)
6016,SC Quiroga,Argentine Torneo Federal B,Argentina (Fourth Division non AFA)
6017,SC Retz,Austrian Div. Lower Austria,Austria (1. NÃN Landesliga)
6018,SC Ritzing,Austrian Div. Burgenland,Austria (Burgenlandliga)
6019,SC Scarborough,Canadian Soccer League,Canada (CSL)
6020,SC Schiltigheim,French National 2 - A,France (National 2 - A)
6021,SC Schwaz,Austrian Regional Division Tyrol,Austria (Regional Division Tyrol)
6022,SC Sopron,Hungarian Lower Division,Hungary (Lower Division)
6023,SC Team Wiener Linien,Austrian Regional Division East,Austria (Regional Division East)
6024,SC Toulon,French National,France (National)
6025,SC Utd.,Chinese National First Division,China (First Division)
6026,SC Victoria,German Div. Hamburg,Germany (Hamburg)
6027,SC Waterloo,Canadian Soccer League,Canada (CSL)
6028,SC Weiz,Austrian Regional Division Central,Austria (Regional Division Central)
6029,SC Wiener Viktoria,Austrian 1. Klasse A (W),Austria (1. Klasse A (W))
6030,SC Zwettl,Austrian Div. Lower Austria,Austria (1. NÃN Landesliga)
6031,Schaan,Swiss Lower Division,Switzerland (Lower Division)
6032,Schaffhausen,Swiss Challenge League,Switzerland (Challenge League)
6033,Schalding,German Regional Division Bavaria,Germany (Regional Div. Bavaria)
6034,Schalke 04,Bundesliga,Germany (Bundesliga)
6035,Schalke 04 II,German Regional Division West,Germany (Regional Div. West)
6036,Scherpenheuvel,Kampionato Liga MCB - PromÃ© Division,CuraÃ§ao (PromÃ© Division)
6037,Scheveningen,Dutch Tweede Divisie,Holland (Dutch Tweede Divisie)
6038,Schlieren,Swiss Lower Division,Switzerland (Lower Division)
6039,Schonnebeck,German Div. Lower Rhine,Germany (Lower Rhine)
6040,School of Excellence,SAFA Gauteng Division 3,South Africa (Gauteng Division 3)
6041,Schott Mainz,German Div. Rhineland-Palatinate/Saar,Germany (RP/Saar)
6042,Schwaben Augsburg,German Div. Bavaria South,Germany (Bavaria South)
6043,Schweinfurt,German Regional Division Bavaria,Germany (Regional Div. Bavaria)
